year,month,month_name,station_id,station_name,rainfall_mm,rainy_days,max_daily_mm,extreme_events_50mm,data_source,notes
2020,6,junho,open-meteo,Open-Meteo Sao Luis,66.6,28,10.5,0,open-meteo,
2020,7,julho,open-meteo,Open-Meteo Sao Luis,80.8,31,26.6,0,open-meteo,
2020,8,agosto,open-meteo,Open-Meteo Sao Luis,33.3,24,5.1,0,open-meteo,
2020,9,setembro,open-meteo,Open-Meteo Sao Luis,19.0,25,1.7,0,open-meteo,
2020,10,outubro,open-meteo,Open-Meteo Sao Luis,13.4,21,1.4,0,open-meteo,
2020,11,novembro,open-meteo,Open-Meteo Sao Luis,143.5,30,24.8,0,open-meteo,
2020,12,dezembro,open-meteo,Open-Meteo Sao Luis,49.9,31,6.2,0,open-meteo,
2021,1,janeiro,open-meteo,Open-Meteo Sao Luis,120.7,31,15.3,0,open-meteo,
2021,2,fevereiro,open-meteo,Open-Meteo Sao Luis,315.0,27,90.5,1,open-meteo,
2021,3,marco,open-meteo,Open-Meteo Sao Luis,409.8,31,56.7,1,open-meteo,
2021,4,abril,open-meteo,Open-Meteo Sao Luis,311.6,28,44.9,0,open-meteo,
2021,5,maio,open-meteo,Open-Meteo Sao Luis,201.4,30,28.9,0,open-meteo,
2021,6,junho,open-meteo,Open-Meteo Sao Luis,210.1,27,30.1,0,open-meteo,
2021,7,julho,open-meteo,Open-Meteo Sao Luis,102.3,29,9.0,0,open-meteo,
2021,8,agosto,open-meteo,Open-Meteo Sao Luis,56.4,27,10.8,0,open-meteo,
2021,9,setembro,open-meteo,Open-Meteo Sao Luis,60.3,29,9.9,0,open-meteo,
2021,10,outubro,open-meteo,Open-Meteo Sao Luis,74.5,29,7.8,0,open-meteo,
2021,11,novembro,open-meteo,Open-Meteo Sao Luis,105.5,30,14.7,0,open-meteo,
2021,12,dezembro,open-meteo,Open-Meteo Sao Luis,138.7,31,18.9,0,open-meteo,
2022,1,janeiro,open-meteo,Open-Meteo Sao Luis,399.0,31,53.2,1,open-meteo,
2022,2,fevereiro,open-meteo,Open-Meteo Sao Luis,280.3,28,40.9,0,open-meteo,
2022,3,marco,open-meteo,Open-Meteo Sao Luis,739.4,31,102.5,3,open-meteo,
2022,4,abril,open-meteo,Open-Meteo Sao Luis,442.3,30,53.4,1,open-meteo,
2022,5,maio,open-meteo,Open-Meteo Sao Luis,400.3,30,55.0,1,open-meteo,
2022,6,junho,open-meteo,Open-Meteo Sao Luis,116.9,28,19.4,0,open-meteo,
2022,7,julho,open-meteo,Open-Meteo Sao Luis,66.4,29,7.9,0,open-meteo,
2022,8,agosto,open-meteo,Open-Meteo Sao Luis,60.2,25,14.8,0,open-meteo,
2022,9,setembro,open-meteo,Open-Meteo Sao Luis,65.6,29,7.0,0,open-meteo,
2022,10,outubro,open-meteo,Open-Meteo Sao Luis,72.6,28,8.5,0,open-meteo,
2022,11,novembro,open-meteo,Open-Meteo Sao Luis,125.1,29,25.6,0,open-meteo,
2022,12,dezembro,open-meteo,Open-Meteo Sao Luis,145.3,28,39.8,0,open-meteo,
2023,1,janeiro,open-meteo,Open-Meteo Sao Luis,280.5,31,51.5,1,open-meteo,
2023,2,fevereiro,open-meteo,Open-Meteo Sao Luis,313.2,28,33.1,0,open-meteo,
2023,3,marco,open-meteo,Open-Meteo Sao Luis,468.6,31,50.3,1,open-meteo,
2023,4,abril,open-meteo,Open-Meteo Sao Luis,382.0,30,65.0,1,open-meteo,
2023,5,maio,open-meteo,Open-Meteo Sao Luis,183.2,28,17.0,0,open-meteo,
2023,6,junho,open-meteo,Open-Meteo Sao Luis,175.9,30,30.2,0,open-meteo,
2023,7,julho,open-meteo,Open-Meteo Sao Luis,58.9,29,9.6,0,open-meteo,
2023,8,agosto,open-meteo,Open-Meteo Sao Luis,40.9,28,3.7,0,open-meteo,
2023,9,setembro,open-meteo,Open-Meteo Sao Luis,32.2,26,3.8,0,open-meteo,
2023,10,outubro,open-meteo,Open-Meteo Sao Luis,43.9,25,8.8,0,open-meteo,
