"Bairro;""rpa""",cidade,ano,mes,tipo_servico,prioridade,fonte
"Nova Descoberta;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Paissandu;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Parnamirim;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Passarinho;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Pau Ferro;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Peixinhos;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Pina;""6""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Poco;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Ponto De Parada;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Porto Da Madeira;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Prado;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Recife;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Rosarinho;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"San Martin;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Sancho;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Santana;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Santo Amaro;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Santo Antonio;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Sao Jose;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Sitio Dos Pintos;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Soledade;""1""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Tamarineira;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Tejipio;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Torre;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Torreao;""2""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Torroes;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Toto;""5""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Varzea;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Vasco Da Gama;""3""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
"Zumbi;""4""",desconhecido,desconhecido,desconhecido,desconhecido,desconhecido,desconhecido
